kgCO2 ship,Sakhir,Jeddah,Melbourne,Baku,Miami,Imola,Monaco,Barcelona,Montreal,Spielberg,Silverstone,Budapest,Spa Francorchamps,Zandvoort,Monza,Singapore,Suzuka,Lusail,Austin,Mexico City,Sao Paulo,Las Vegas,Yas Marina,Shanghai
Sakhir,0.00,21143.39,139898.68,10500000000.00,140746.45,46415.55,50037.50,54415.47,118489.72,45177.29,59576.31,41918.87,53598.72,55500.83,49000.22,73071.62,135301.56,1292.25,149091.44,161590.85,198465.62,217445.76,5154.59,78594.00
Jeddah,21143.39,0.00,148039.24,10500000000.00,134044.45,41112.28,44005.67,47210.06,114682.08,41412.51,55617.41,39131.98,49752.72,52149.05,43858.57,84931.28,156117.41,22329.62,212215.08,228055.13,177330.05,150694.24,27144.42,93116.38
Melbourne,139898.68,148039.24,0.00,10500000000.00,261984.41,270254.54,275882.04,282635.14,281241.24,266766.70,284714.64,261177.50,277395.89,278416.15,273627.65,69968.76,93895.71,138606.81,165010.35,156657.85,219466.46,151666.05,196143.19,93300.32
Baku,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,10500000000.00,73202.78
Miami,140746.45,134044.45,261984.41,10500000000.00,0.00,94395.37,90914.62,87042.56,26039.23,95617.56,81354.67,99026.34,87278.06,85573.04,91772.43,284815.61,141192.86,142013.14,20408.48,23841.91,76185.05,58670.86,145525.84,153023.87
Imola,46415.55,41112.28,270254.54,10500000000.00,94395.37,0.00,4030.01,9565.79,73596.43,4598.40,21386.01,7907.46,13495.44,17452.19,2747.06,169307.04,161254.62,47694.80,104806.14,116132.48,111016.14,161140.76,51324.64,103798.29
Monaco,50037.50,44005.67,275882.04,10500000000.00,90914.62,4030.01,0.00,5619.86,70708.94,7971.90,18795.57,11687.85,12650.20,16556.29,2956.63,175122.86,165881.07,51322.89,101917.22,112946.30,107493.49,158152.09,55000.82,107430.94
Barcelona,54415.47,47210.06,282635.14,10500000000.00,87042.56,9565.79,5619.86,0.00,68044.41,13552.82,20056.85,17306.88,17244.54,20418.00,8352.13,182669.09,173432.45,55707.13,99117.18,109580.28,102037.39,156037.85,59463.69,112962.00
Montreal,118489.72,114682.08,281241.24,10500000000.00,26039.23,73596.43,70708.94,68044.41,0.00,73802.10,59335.08,76740.89,65312.71,63177.86,70855.23,248726.02,177802.13,119686.64,45404.76,43105.58,94250.68,60684.05,122835.17,130999.06
Spielberg,45177.29,41412.51,266766.70,10500000000.00,95617.56,4598.40,7971.90,13552.82,73802.10,0.00,21066.75,3928.85,12352.80,15626.19,5260.95,165212.31,154618.14,46431.29,104899.57,116705.94,115435.34,159500.78,49908.35,99461.58
