C02 emission private jet,Sakhir,Jeddah,Melbourne,Baku,Miami,Imola,Monaco,Barcelona,Montreal,Spielberg,Silverstone,Budapest,Spa Francorchamps,Zandvoort,Monza,Singapore,Suzuka,Lusail,Austin,Mexico City,Sao Paulo,Las Vegas,Yas Marina,Shanghai
Sakhir,0,3775.605,36337.32,4786.551,36557.52,12055.986,12996.753,14133.888,30776.55,11734.362,15474.366,10888.017,13921.746,14415.801,12727.329,18979.641,24160.992,335.6502,38725.05,41971.65,35440.29,38829.6,1338.8541,20414.025
Jeddah,3775.605,0,38451.75,6950.616,34816.74,10678.515,11430.045,12262.353,29787.552,10756.497,14446.08,10164.15,12922.785,13545.207,11391.837,22060.074,27878.109,3987.432,37895.55,40724.13,31666.08,39141.36,4847.217,24186.072
Melbourne,36337.32,38451.75,0,38968.98,46782.93,48259.74,49264.65,50470.56,50221.65,47636.91,50841.9,46638.84,49534.98,49717.17,48862.08,18173.703,24388.497,36001.77,42859.83,40690.35,39190.44,39393.78,35025.57,24233.85
Baku,4786.551,6950.616,38968.98,0,33046.65,9406.047,10450.233,11837.706,26789.589,8670.48,12090.216,7670.025,10634.394,10956.129,9938.886,20840.97,22028.964,4983.627,34466.07,37895.91,36649.65,34120.35,5467.662,19013.709
Miami,36557.52,34816.74,46782.93,33046.65,0,24518.277,23614.188,22608.456,6763.437,24835.731,21131.082,25721.127,22669.626,22226.763,23836.995,50859.93,36673.47,36886.53,5300.904,6192.705,19788.324,10476.939,37798.92,39746.46
Imola,12055.986,10678.515,48259.74,9406.047,24518.277,0,1046.757,2484.6201,19115.955,1194.3906,3818.931,2053.887,2409.8997,3116.463,713.5209,30233.4,28795.467,12388.26,27222.375,30164.28,28835.361,28775.136,13331.076,26960.595
Monaco,12996.753,11430.045,49264.65,10450.233,23614.188,1046.757,0,1459.704,18365.958,2070.6231,3356.352,3035.805,2258.9649,2956.4808,767.9571,31271.94,29621.619,13330.62,26472.006,29336.7,27920.388,28241.445,14285.928,27904.14
Barcelona,14133.888,12262.353,50470.56,11837.706,22608.456,2484.6201,1459.704,0,17673.873,3520.212,3581.58,4495.293,3079.383,3646.071,2169.3849,32619.48,30970.08,14469.384,25744.722,28462.41,26503.218,27863.901,15445.113,29340.78
Montreal,30776.55,29787.552,50221.65,26789.589,6763.437,19115.955,18365.958,17673.873,0,19169.376,15411.708,19932.699,16964.34,16409.835,18403.956,44415.36,31750.38,31087.44,8107.992,11196.255,24480.696,10836.438,31905.24,34025.73
Spielberg,11734.362,10756.497,47636.91,8670.48,24835.731,1194.3906,2070.6231,3520.212,19169.376,0,3761.919,1020.4812,2205.8565,2790.3909,1366.4805,29502.198,27610.383,12060.075,27246.642,30313.23,29983.206,28482.282,12963.207,25834.176
Silverstone,15474.366,14446.08,50841.9,12090.216,21131.082,3818.931,3356.352,3581.58,15411.708,3761.919,0,4593.114,1556.9103,1140.2163,3117.048,32707.11,28522.023,15797.184,23498.541,26551.773,28565.913,24960.483,16682.202,27527.391
Budapest,10888.017,10164.15,46638.84,7670.025,25721.127,2053.887,3035.805,4495.293,19932.699,1020.4812,4593.114,0,3052.521,3529.986,2372.8116,28492.155,26795.712,11209.026,27976.371,31108.44,30883.8,28994.271,12089.214,24906.99
Spa Francorchamps,13921.746,12922.785,49534.98,10634.394,22669.626,2409.8997,2258.9649,3079.383,16964.34,2205.8565,1556.9103,3052.521,0,716.1777,1768.2042,31362.03,28098.036,14245.383,25045.698,28108.617,29185.602,26401.677,15135.75,26779.227
Zandvoort,14415.801,13545.207,49717.17,10956.129,22226.763,3116.463,2956.4808,3646.071,16409.835,2790.3909,1140.2163,3529.986,716.1777,0,2484.0684,31571.37,27771.729,14735.622,24471.012,27579.351,29421.933,25732.353,15606.441,26603.295
Monza,12727.329,11391.837,48862.08,9938.886,23836.995,713.5209,767.9571,2169.3849,18403.956,1366.4805,3117.048,2372.8116,1768.2042,2484.0684,0,30779.64,28856.751,13058.541,26509.959,29460.474,28666.092,28077.351,13993.533,27171.561
Singapore,18979.641,22060.074,18173.703,20840.97,50859.93,30233.4,31271.94,32619.48,44415.36,29502.198,32707.11,28492.155,31362.03,31571.37,30779.64,0,15107.82,18656.421,47530.89,49841.49,47946.27,42661.47,17646.618,11420.445
Suzuka,24160.992,27878.109,24388.497,22028.964,36673.47,28795.467,29621.619,30970.08,31750.38,27610.383,28522.023,26795.712,28098.036,27771.729,28856.751,15107.82,0,24010.077,32489.13,34798.17,56212.05,27557.67,23361.621,4432.257
Lusail,335.6502,3987.432,36001.77,4983.627,36886.53,12388.26,13330.62,14469.384,31087.44,12060.075,15797.184,11209.026,14245.383,14735.622,13058.541,18656.421,24010.077,0,39023.46,42283.38,35650.05,39067.08,1010.4363,20224.521
Austin,38725.05,37895.55,42859.83,34466.07,5300.904,27222.375,26472.006,25744.722,8107.992,27246.642,23498.541,27976.371,25045.698,24471.012,26509.959,47530.89,32489.13,39023.46,0,3607.368,24254.247,5279.427,39778.65,36130.95
Mexico City,41971.65,40724.13,40690.35,37895.91,6192.705,30164.28,29336.7,28462.41,11196.255,30313.23,26551.773,31108.44,28108.617,27579.351,29460.474,49841.49,34798.17,42283.38,3607.368,0,22292.649,7299.537,43097.43,38763.96
Sao Paulo,35440.29,31666.08,39190.44,36649.65,19788.324,28835.361,27920.388,26503.218,24480.696,29983.206,28565.913,30883.8,29185.602,29421.933,28666.092,47946.27,56212.05,35650.05,24254.247,22292.649,0,29362.722,36446.34,55661.1
Las Vegas,38829.6,39141.36,39393.78,34120.35,10476.939,28775.136,28241.445,27863.901,10836.438,28482.282,24960.483,28994.271,26401.677,25732.353,28077.351,42661.47,27557.67,39067.08,5279.427,7299.537,29362.722,0,39578.79,31465.68
Yas Marina,1338.8541,4847.217,35025.57,5467.662,37798.92,13331.076,14285.928,15445.113,31905.24,12963.207,16682.202,12089.214,15135.75,15606.441,13993.533,17646.618,23361.621,1010.4363,39778.65,43097.43,36446.34,39578.79,0,19482.078
Shanghai,20414.025,24186.072,24233.85,19013.709,39746.46,26960.595,27904.14,29340.78,34025.73,25834.176,27527.391,24906.99,26779.227,26603.295,27171.561,11420.445,4432.257,20224.521,36130.95,38763.96,55661.1,31465.68,19482.078,0
,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,
