kgCO2 truck,Sakhir,Jeddah,Melbourne,Baku,Miami,Imola,Monaco,Barcelona,Montreal,Spielberg,Silverstone,Budapest,Spa Francorchamps,Zandvoort,Monza,Singapore,Suzuka,Lusail,Austin,Mexico City,Sao Paulo,Las Vegas,Yas Marina,Shanghai
Sakhir,0.00,336217.63,205500000000.00,426242.37,3255447.16,1073585.55,1157360.85,1258622.73,2740651.78,1044944.94,1377992.29,969577.91,1239731.48,1283727.08,1133368.65,1690137.03,205500000000.00,29889.65,205500000000.00,205500000000.00,205500000000.00,205500000000.00,119224.96,205500000000.00
Jeddah,336217.63,0.00,205500000000.00,618952.35,3100430.70,950921.76,1017845.51,1091962.53,2652581.51,957866.06,1286423.42,905117.56,1150774.00,1206200.68,1014443.08,1964449.59,205500000000.00,355080.82,205500000000.00,205500000000.00,205500000000.00,205500000000.00,431644.67,205500000000.00
Melbourne,205500000000.00,205500000000.00,0.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00
Baku,426242.37,618952.35,205500000000.00,0.00,2942804.18,837608.49,930593.25,1054147.72,2385612.90,772106.24,1076633.73,683015.73,946992.79,975643.29,885057.80,1855888.38,205500000000.00,443791.98,205500000000.00,205500000000.00,205500000000.00,205500000000.00,486895.30,1693170.79
Miami,205500000000.00,205500000000.00,205500000000.00,205500000000.00,0.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,472045.50,551460.38,1762150.25,932971.42,205500000000.00,205500000000.00
Imola,1073585.55,950921.76,205500000000.00,837608.49,2183352.57,0.00,93213.71,221255.42,1702275.79,106360.48,340075.81,182898.64,214601.57,277521.03,63539.04,2692284.27,205500000000.00,1103174.55,205500000000.00,205500000000.00,205500000000.00,205500000000.00,1187132.32,205500000000.00
Monaco,1157360.85,1017845.51,205500000000.00,930593.25,2102843.44,93213.71,0.00,129986.64,1635488.56,184388.99,298883.15,270338.44,201160.82,263274.62,68386.58,2784766.26,205500000000.00,1187091.71,205500000000.00,205500000000.00,205500000000.00,205500000000.00,1272161.89,205500000000.00
Barcelona,1258622.73,1091962.53,205500000000.00,1054147.72,2013283.01,221255.42,129986.64,0.00,1573858.39,313474.88,318939.70,400305.84,274219.06,324682.62,193183.73,2904764.69,205500000000.00,1288498.65,205500000000.00,205500000000.00,205500000000.00,205500000000.00,1375387.31,205500000000.00
Montreal,2740651.78,2652581.51,205500000000.00,2385612.90,602284.06,1702275.79,1635488.56,1573858.39,0.00,1707032.93,1372412.60,1775006.85,1510674.48,1461295.81,1638872.28,3955187.81,205500000000.00,2768336.53,205500000000.00,205500000000.00,205500000000.00,205500000000.00,2841161.62,205500000000.00
Spielberg,1044944.94,957866.06,205500000000.00,772106.24,2211621.85,106360.48,184388.99,313474.88,1707032.93,0.00,334998.89,90873.85,196431.52,248484.31,121685.09,2627170.73,205500000000.00,1073949.68,205500000000.00,205500000000.00,205500000000.00,205500000000.00,1154373.58,205500000000.00
Silverstone,1377992.29,1286423.42,205500000000.00,1076633.73,1881722.85,340075.81,298883.15,318939.70,1372412.60,334998.89,0.00,409016.80,138642.86,101536.26,277573.12,2912568.15,205500000000.00,1406739.24,205500000000.00,205500000000.00,205500000000.00,205500000000.00,1485550.09,205500000000.00
Budapest,969577.91,905117.56,205500000000.00,683015.73,2290466.36,182898.64,270338.44,400305.84,1775006.85,90873.85,409016.80,0.00,271827.00,314345.25,211298.87,2537226.40,205500000000.00,998163.77,205500000000.00,205500000000.00,205500000000.00,205500000000.00,1076544.51,205500000000.00
Spa Francorchamps,1239731.48,1150774.00,205500000000.00,946992.79,2018730.20,214601.57,201160.82,274219.06,1510674.48,196431.52,138642.86,271827.00,0.00,63775.62,157458.58,2792788.77,205500000000.00,1268551.36,205500000000.00,205500000000.00,205500000000.00,205500000000.00,1347838.54,205500000000.00
Zandvoort,1283727.08,1206200.68,205500000000.00,975643.29,1979293.25,277521.03,263274.62,324682.62,1461295.81,248484.31,101536.26,314345.25,63775.62,0.00,221206.29,2811430.50,205500000000.00,1312207.14,205500000000.00,205500000000.00,205500000000.00,205500000000.00,1389753.57,205500000000.00
Monza,1133368.65,1014443.08,205500000000.00,885057.80,2122684.40,63539.04,68386.58,193183.73,1638872.28,121685.09,277573.12,211298.87,157458.58,221206.29,0.00,2740926.94,205500000000.00,1162863.08,205500000000.00,205500000000.00,205500000000.00,205500000000.00,1246124.11,205500000000.00
Singapore,1690137.03,1964449.59,205500000000.00,1855888.38,4529076.77,2692284.27,2784766.26,2904764.69,3955187.81,2627170.73,2912568.15,2537226.40,2792788.77,2811430.50,2740926.94,0.00,205500000000.00,1661354.29,205500000000.00,205500000000.00,205500000000.00,205500000000.00,1571431.33,1016990.63
Suzuka,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,0.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00
Lusail,29889.65,355080.82,205500000000.00,443791.98,3284745.50,1103174.55,1187091.71,1288498.65,2768336.53,1073949.68,1406739.24,998163.77,1268551.36,1312207.14,1162863.08,1661354.29,205500000000.00,0.00,205500000000.00,205500000000.00,205500000000.00,205500000000.00,89979.35,205500000000.00
